key,value,comment_zh
midlevel.rhythm.bpm_histogram_second_peak_spread,0.00000000,BPM 直方图第二峰值扩散度
midlevel.rhythm.bpm_histogram_second_peak_weight,0.00000000,BPM 直方图第二峰值权重
midlevel.rhythm.bpm_intervals,,BPM 间隔序列
midlevel.rhythm.confidence,0.00000000,BPM 置信度
midlevel.rhythm.danceability,0.72811270,舞动性（Danceability，基于 DFA 的节奏稳定性度量）
midlevel.rhythm.dfa,1.54452002;1.46060407;1.36127341;1.26320577;1.19413841;1.14150941;1.09698451;1.06938529;1.05554628;1.04735947;1.04371202;1.04100215;1.23266971;1.02974486;1.03167021;1.03770900;1.21993876;1.06568623;1.10330045;1.31795466;1.27370334;1.59423625;1.75327528;2.47443175;3.88178945;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,DFA 序列（用于舞动性计算的分形/标度特征）
midlevel.tonal.chords_changes_rate,0.00000000,和弦变化率（单位时间内和弦变化的频繁程度）
midlevel.tonal.chords_histogram,100.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,和弦直方图（和弦类别分布）
midlevel.tonal.chords_key,C,和弦主调（chords_key）
midlevel.tonal.chords_number_rate,0.01298701,和弦数量率（不同和弦出现的相对速率）
midlevel.tonal.chords_progression,,和弦进行序列（按时间顺序）
midlevel.tonal.chords_scale,major,和弦音阶类型（大/小等，chords_scale）
midlevel.tonal.chords_strength,0.66824490;0.66832799;0.66840839;0.66848135;0.66855133;0.66861749;0.66868299;0.66874468;0.66880161;0.66885924;0.66891181;0.66896427;0.66901356;0.66905707;0.66910404;0.66914988;0.66919458;0.66923642;0.66928154;0.66931516;0.66935390;0.66938907;0.66951555;0.66960770;0.66968256;0.66974425;0.66981840;0.66988355;0.66994077;0.67000133;0.67005306;0.67010421;0.67015684;0.67019910;0.67022604;0.67024970;0.67027724;0.67028964;0.67030269;0.67030811;0.67031425;0.67029852;0.67033386;0.67045557;0.67057377;0.67057067;0.67056268;0.67055094;0.67054045;0.67053276;0.67051411;0.67048901;0.67048734;0.67048448;0.67047882;0.67047375;0.67046738;0.67045945;0.67045075;0.67044252;0.67043322;0.67042786;0.67041928;0.67040956;0.67039788;0.67038739;0.67037976;0.67037171;0.67035919;0.67034370;0.67033029;0.67031538;0.67029619;0.67027605;0.67025101;0.67020833;0.67018265,和弦置信强度序列（每个时间帧）
midlevel.tonal.key,C,调性主音（key_key）
midlevel.tonal.key_strength,0.75082064,调性强度（key_strength）
midlevel.tonal.scale,major,调式（大调/小调，key_scale）
