key,value,comment_zh
lowlevel.barkbands_flatness_db.var,0.01791960,（低层·barkbands·平坦度·db·方差）
lowlevel.barkbands_kurtosis.dmean,27.31615829,（低层·barkbands·峰度·dmean）
lowlevel.barkbands_kurtosis.dmean2,11.61025143,（低层·barkbands·峰度·dmean2）
lowlevel.barkbands_kurtosis.dvar,2363.30908203,（低层·barkbands·峰度·dvar）
lowlevel.barkbands_kurtosis.dvar2,818.58142090,（低层·barkbands·峰度·dvar2）
lowlevel.barkbands_kurtosis.max,3512.82690430,（低层·barkbands·峰度·最大值）
lowlevel.barkbands_kurtosis.mean,492.14129639,（低层·barkbands·峰度·均值）
lowlevel.barkbands_kurtosis.median,46.46921921,（低层·barkbands·峰度·median）
lowlevel.barkbands_kurtosis.min,0.35581779,（低层·barkbands·峰度·最小值）
lowlevel.barkbands_kurtosis.stdev,904.22357178,（低层·barkbands·峰度·标准差）
lowlevel.barkbands_kurtosis.var,817620.25000000,（低层·barkbands·峰度·方差）
lowlevel.barkbands_skewness.dmean,0.37250897,（低层·barkbands·偏度·dmean）
lowlevel.barkbands_skewness.dmean2,0.13840292,（低层·barkbands·偏度·dmean2）
lowlevel.barkbands_skewness.dvar,0.32190764,（低层·barkbands·偏度·dvar）
lowlevel.barkbands_skewness.dvar2,0.10500191,（低层·barkbands·偏度·dvar2）
lowlevel.barkbands_skewness.max,47.92038727,（低层·barkbands·偏度·最大值）
lowlevel.barkbands_skewness.mean,12.14820194,（低层·barkbands·偏度·均值）
lowlevel.barkbands_skewness.median,6.62046385,（低层·barkbands·偏度·median）
lowlevel.barkbands_skewness.min,-1.74294901,（低层·barkbands·偏度·最小值）
lowlevel.barkbands_skewness.stdev,13.10582638,（低层·barkbands·偏度·标准差）
lowlevel.barkbands_skewness.var,171.76268005,（低层·barkbands·偏度·方差）
lowlevel.barkbands_spread.dmean,0.16601542,（低层·barkbands·扩散度·dmean）
lowlevel.barkbands_spread.dmean2,0.10500231,（低层·barkbands·扩散度·dmean2）
lowlevel.barkbands_spread.dvar,0.69206190,（低层·barkbands·扩散度·dvar）
lowlevel.barkbands_spread.dvar2,0.80230129,（低层·barkbands·扩散度·dvar2）
lowlevel.barkbands_spread.max,32.00916290,（低层·barkbands·扩散度·最大值）
lowlevel.barkbands_spread.mean,1.38823044,（低层·barkbands·扩散度·均值）
lowlevel.barkbands_spread.median,0.29652584,（低层·barkbands·扩散度·median）
lowlevel.barkbands_spread.min,0.04679197,（低层·barkbands·扩散度·最小值）
lowlevel.barkbands_spread.stdev,3.69600296,（低层·barkbands·扩散度·标准差）
lowlevel.barkbands_spread.var,13.66043758,（低层·barkbands·扩散度·方差）
lowlevel.dissonance.dmean,0.02078411,（低层·不协和度·dmean）
lowlevel.dissonance.dmean2,0.03335739,（低层·不协和度·dmean2）
lowlevel.dissonance.dvar,0.00036844,（低层·不协和度·dvar）
lowlevel.dissonance.dvar2,0.00086461,（低层·不协和度·dvar2）
lowlevel.dissonance.max,0.49198112,（低层·不协和度·最大值）
lowlevel.dissonance.mean,0.13071530,（低层·不协和度·均值）
lowlevel.dissonance.median,0.09732685,（低层·不协和度·median）
lowlevel.dissonance.min,0.02738516,（低层·不协和度·最小值）
lowlevel.dissonance.stdev,0.09705883,（低层·不协和度·标准差）
lowlevel.dissonance.var,0.00942042,（低层·不协和度·方差）
lowlevel.dynamic_complexity,21.41739464,（低层·动态·复杂度）
lowlevel.erbbands.dmean,0.00000087;0.00000639;0.00006582;0.00123661;0.06463616;2.36682463;2.11013269;0.08723848;0.08347062;3.26250291;1.20249128;0.21614449;2.97297573;0.28799304;1.36868310;0.27832314;0.67242867;0.33438250;0.06359474;0.00186382;0.00014047;0.00002475;0.00000929;0.00000600;0.00000517;0.00000457;0.00000393;0.00000332;0.00000273;0.00000218;0.00000168;0.00000134;0.00000104;0.00000080;0.00000062;0.00000046;0.00000027;0.00000006;0.00000041;0.00000096,（低层·erbbands·dmean）
lowlevel.erbbands.dmean2,0.00000052;0.00000470;0.00005136;0.00077683;0.03985114;1.00949013;0.97287768;0.04946281;0.04349033;1.47788668;0.59229159;0.11353046;1.42910159;0.15228961;0.70520681;0.15359028;0.36981776;0.19448376;0.03778569;0.00110090;0.00008399;0.00001956;0.00001061;0.00000794;0.00000658;0.00000561;0.00000477;0.00000406;0.00000340;0.00000282;0.00000228;0.00000180;0.00000138;0.00000101;0.00000070;0.00000045;0.00000023;0.00000007;0.00000019;0.00000044,（低层·erbbands·dmean2）
lowlevel.erbbands.dvar,0.00000000;0.00000000;0.00000016;0.00006012;0.18168662;208.10943604;180.08444214;0.31503683;0.31603777;410.23324585;61.64900970;2.09380031;354.03100586;3.72722983;79.39137268;3.54649067;20.31842232;5.30871582;0.19836108;0.00016768;0.00000088;0.00000002;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,（低层·erbbands·dvar）
lowlevel.erbbands.dvar2,0.00000000;0.00000000;0.00000036;0.00009840;0.27569813;116.29244995;122.18023682;0.44355336;0.30963862;239.98379517;45.49802780;1.70354617;216.17269897;2.92257214;52.22211075;2.69624162;14.36050606;3.97881079;0.15683383;0.00013236;0.00000068;0.00000002;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,（低层·erbbands·dvar2）
lowlevel.erbbands.max,0.00012981;0.00109912;0.01227313;0.20610805;10.28099537;330.21737671;300.02777100;14.01787758;12.92606163;456.32089233;173.69104004;32.01021576;416.39447021;42.08807755;192.85499573;40.26233292;95.44822693;47.70909500;9.17224026;0.27093211;0.02095596;0.00381957;0.00135030;0.00075318;0.00055688;0.00045753;0.00038037;0.00031746;0.00026154;0.00021333;0.00017077;0.00014662;0.00012529;0.00010501;0.00008877;0.00006853;0.00004072;0.00000813;0.00005761;0.00013563,（低层·erbbands·最大值）
lowlevel.erbbands.mean,0.00000689;0.00004760;0.00051281;0.01013711;0.52037418;19.95247841;18.11702728;0.73541492;0.59921497;20.72781754;7.94388533;1.25914240;15.59799480;1.55771422;6.25704622;1.25481272;2.75880361;1.26392460;0.24291867;0.00724681;0.00058265;0.00011708;0.00004543;0.00002604;0.00001814;0.00001394;0.00001137;0.00000971;0.00000855;0.00000770;0.00000702;0.00000643;0.00000586;0.00000527;0.00000453;0.00000354;0.00000211;0.00000039;0.00000304;0.00000720,（低层·erbbands·均值）
lowlevel.erbbands.median,0.00000020;0.00000130;0.00001386;0.00028628;0.01485760;0.59867650;0.53946865;0.02073790;0.00225942;0.04306875;0.01621037;0.00062523;0.00214436;0.00018097;0.00006173;0.00000807;0.00000215;0.00000108;0.00000073;0.00000068;0.00000059;0.00000057;0.00000057;0.00000054;0.00000050;0.00000048;0.00000048;0.00000052;0.00000049;0.00000046;0.00000043;0.00000040;0.00000035;0.00000030;0.00000023;0.00000016;0.00000009;0.00000003;0.00000007;0.00000016,（低层·erbbands·median）
lowlevel.erbbands.min,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,（低层·erbbands·最小值）
lowlevel.erbbands.stdev,0.00001902;0.00013548;0.00147716;0.02809124;1.43508124;53.77814102;48.95202637;2.02545977;1.95131779;67.94342041;26.10175133;4.56744432;57.74900055;5.86337280;25.32984734;5.23661757;12.00770283;5.81462193;1.12229145;0.03325729;0.00259559;0.00048587;0.00017428;0.00009609;0.00006638;0.00005105;0.00004137;0.00003465;0.00002952;0.00002554;0.00002229;0.00001962;0.00001737;0.00001527;0.00001302;0.00001015;0.00000607;0.00000116;0.00000888;0.00002099,（低层·erbbands·标准差）
lowlevel.erbbands.var,0.00000000;0.00000002;0.00000218;0.00078912;2.05945802;2892.08862305;2396.30102539;4.10248756;3.80764103;4616.30810547;681.30139160;20.86154938;3334.94702148;34.37913895;641.60119629;27.42216301;144.18492126;33.80982971;1.25953817;0.00110605;0.00000674;0.00000024;0.00000003;0.00000001;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,（低层·erbbands·方差）
lowlevel.erbbands_crest.dmean,0.13706887,（低层·erbbands·crest·dmean）
lowlevel.erbbands_crest.dmean2,0.08790643,（低层·erbbands·crest·dmean2）
lowlevel.erbbands_crest.dvar,0.21840809,（低层·erbbands·crest·dvar）
lowlevel.erbbands_crest.dvar2,0.35294288,（低层·erbbands·crest·dvar2）
lowlevel.erbbands_crest.max,20.23527336,（低层·erbbands·crest·最大值）
lowlevel.erbbands_crest.mean,17.07005310,（低层·erbbands·crest·均值）
lowlevel.erbbands_crest.median,19.01861191,（低层·erbbands·crest·median）
lowlevel.erbbands_crest.min,3.02921629,（低层·erbbands·crest·最小值）
lowlevel.erbbands_crest.stdev,3.93506002,（低层·erbbands·crest·标准差）
lowlevel.erbbands_crest.var,15.48469734,（低层·erbbands·crest·方差）
lowlevel.erbbands_flatness_db.dmean,0.00569478,（低层·erbbands·平坦度·db·dmean）
lowlevel.erbbands_flatness_db.dmean2,0.00451801,（低层·erbbands·平坦度·db·dmean2）
lowlevel.erbbands_flatness_db.dvar,0.00003505,（低层·erbbands·平坦度·db·dvar）
lowlevel.erbbands_flatness_db.dvar2,0.00003088,（低层·erbbands·平坦度·db·dvar2）
lowlevel.erbbands_flatness_db.max,0.61789048,（低层·erbbands·平坦度·db·最大值）
lowlevel.erbbands_flatness_db.mean,0.52463132,（低层·erbbands·平坦度·db·均值）
lowlevel.erbbands_flatness_db.median,0.56041068,（低层·erbbands·平坦度·db·median）
lowlevel.erbbands_flatness_db.min,0.09735165,（低层·erbbands·平坦度·db·最小值）
lowlevel.erbbands_flatness_db.stdev,0.10922921,（低层·erbbands·平坦度·db·标准差）
lowlevel.erbbands_flatness_db.var,0.01193102,（低层·erbbands·平坦度·db·方差）
lowlevel.erbbands_kurtosis.dmean,2.75682425,（低层·erbbands·峰度·dmean）
lowlevel.erbbands_kurtosis.dmean2,1.84360421,（低层·erbbands·峰度·dmean2）
lowlevel.erbbands_kurtosis.dvar,30.29495239,（低层·erbbands·峰度·dvar）
lowlevel.erbbands_kurtosis.dvar2,20.57778168,（低层·erbbands·峰度·dvar2）
lowlevel.erbbands_kurtosis.max,315.45321655,（低层·erbbands·峰度·最大值）
lowlevel.erbbands_kurtosis.mean,46.23220062,（低层·erbbands·峰度·均值）
lowlevel.erbbands_kurtosis.median,8.31001663,（低层·erbbands·峰度·median）
lowlevel.erbbands_kurtosis.min,-0.93187237,（低层·erbbands·峰度·最小值）
lowlevel.erbbands_kurtosis.stdev,82.38320160,（低层·erbbands·峰度·标准差）
lowlevel.erbbands_kurtosis.var,6786.99218750,（低层·erbbands·峰度·方差）
lowlevel.erbbands_skewness.dmean,0.11778865,（低层·erbbands·偏度·dmean）
lowlevel.erbbands_skewness.dmean2,0.06890383,（低层·erbbands·偏度·dmean2）
lowlevel.erbbands_skewness.dvar,0.04571611,（低层·erbbands·偏度·dvar）
lowlevel.erbbands_skewness.dvar2,0.02736807,（低层·erbbands·偏度·dvar2）
lowlevel.erbbands_skewness.max,13.89663315,（低层·erbbands·偏度·最大值）
lowlevel.erbbands_skewness.mean,3.37717485,（低层·erbbands·偏度·均值）
lowlevel.erbbands_skewness.median,2.50445485,（低层·erbbands·偏度·median）
lowlevel.erbbands_skewness.min,-0.70086014,（低层·erbbands·偏度·最小值）
lowlevel.erbbands_skewness.stdev,3.32328939,（低层·erbbands·偏度·标准差）
lowlevel.erbbands_skewness.var,11.04425240,（低层·erbbands·偏度·方差）
lowlevel.erbbands_spread.dmean,0.32395959,（低层·erbbands·扩散度·dmean）
lowlevel.erbbands_spread.dmean2,0.11563488,（低层·erbbands·扩散度·dmean2）
lowlevel.erbbands_spread.dvar,1.24658680,（低层·erbbands·扩散度·dvar）
lowlevel.erbbands_spread.dvar2,0.59244114,（低层·erbbands·扩散度·dvar2）
lowlevel.erbbands_spread.max,55.28221893,（低层·erbbands·扩散度·最大值）
lowlevel.erbbands_spread.mean,4.80045366,（低层·erbbands·扩散度·均值）
lowlevel.erbbands_spread.median,1.65578127,（低层·erbbands·扩散度·median）
lowlevel.erbbands_spread.min,0.51503271,（低层·erbbands·扩散度·最小值）
lowlevel.erbbands_spread.stdev,8.53453159,（低层·erbbands·扩散度·标准差）
lowlevel.erbbands_spread.var,72.83823395,（低层·erbbands·扩散度·方差）
lowlevel.gfcc.cov,38370.72265625;12909.11816406;-3084.10864258;-10456.60546875;-651.07434082;2402.43823242;2341.55615234;-1718.71862793;-98.75469208;-111.11389923;944.42669678;-1375.24267578;-273.63220215|12909.11816406;5370.28076172;-73.48401642;-3712.76147461;-577.38043213;431.78976440;1018.13671875;-423.36425781;83.74648285;-229.28225708;347.31103516;-496.18789673;-36.34392929|-3084.10864258;-73.48401642;1432.88244629;901.09295654;-427.94046021;-775.11431885;-155.47799683;266.79522705;111.24388123;-176.47505188;-100.12890625;78.89783478;56.73839951|-10456.60546875;-3712.76147461;901.09295654;3179.01733398;95.59067535;-836.76916504;-853.26489258;443.28985596;14.54708004;48.24415588;-323.03155518;380.07391357;63.89458466|-651.07434082;-577.38043213;-427.94046021;95.59067535;274.83416748;236.92590332;-35.22512054;-25.01650620;-3.53169584;106.32135773;5.01721668;16.69020844;-19.48822403|2402.43823242;431.78976440;-775.11431885;-836.76916504;236.92590332;523.27270508;218.59672546;-168.13885498;-45.86859894;89.07209778;104.73743439;-79.67517090;-39.88372421|2341.55615234;1018.13671875;-155.47799683;-853.26489258;-35.22512054;218.59672546;363.76818848;-45.50934982;19.29268074;-59.43248367;107.62641907;-83.32290649;8.67729473|-1718.71862793;-423.36425781;266.79522705;443.28985596;-25.01650620;-168.13885498;-45.50934982;120.09552765;28.54821014;-38.17051315;-40.18850327;60.69455338;32.52842331|-98.75469208;83.74648285;111.24388123;14.54708004;-3.53169584;-45.86859894;19.29268074;28.54821014;48.12498856;-8.23163605;-3.64861035;-13.09544659;8.86497021|-111.11389923;-229.28225708;-176.47505188;48.24415588;106.32135773;89.07209778;-59.43248367;-38.17051315;-8.23163605;65.79459381;-2.43410373;-3.51849866;-23.06994057|944.42669678;347.31103516;-100.12890625;-323.03155518;5.01721668;104.73743439;107.62641907;-40.18850327;-3.64861035;-2.43410373;44.29972458;-35.20617294;-10.35185814|-1375.24267578;-496.18789673;78.89783478;380.07391357;16.69020844;-79.67517090;-83.32290649;60.69455338;-13.09544659;-3.51849866;-35.20617294;60.90543365;11.75771523|-273.63220215;-36.34392929;56.73839951;63.89458466;-19.48822403;-39.88372421;8.67729473;32.52842331;8.86497021;-23.06994057;-10.35185814;11.75771523;18.92302513,（低层·gfcc·cov）
lowlevel.gfcc.icov,0.00570078;-0.00069319;0.01916567;0.01945417;0.02066180;0.02380240;0.00518761;-0.00370432;-0.01828515;-0.01145656;0.00229493;0.00477216;0.02627448|-0.00069319;0.12441841;0.03755525;0.18513605;0.18130548;0.16857128;0.04511843;-0.08603362;-0.20920433;-0.19102298;-0.22233748;-0.06101545;-0.05816933|0.01916567;0.03755525;0.09416920;0.13811691;0.15946423;0.15178619;0.05220379;-0.08337668;-0.16457544;-0.15495618;-0.11735205;-0.06067334;0.06577227|0.01945417;0.18513605;0.13811691;0.37590212;0.37556714;0.36316758;0.11794595;-0.20437054;-0.41087005;-0.41908005;-0.38244927;-0.16988483;-0.01913932|0.02066180;0.18130548;0.15946423;0.37556714;0.50265270;0.31078857;0.15327844;-0.26682603;-0.51519990;-0.54233390;-0.45972565;-0.26093155;-0.04736022|0.02380240;0.16857128;0.15178619;0.36316758;0.31078857;0.43221059;0.07919329;-0.12282430;-0.36252046;-0.39975446;-0.38397929;-0.15689650;-0.03766059|0.00518761;0.04511843;0.05220379;0.11794595;0.15327844;0.07919329;0.11361638;-0.15099840;-0.16712414;-0.17236413;-0.23780832;-0.12622772;-0.04437838|-0.00370432;-0.08603362;-0.08337668;-0.20437054;-0.26682603;-0.12282430;-0.15099840;0.41479141;0.19084534;0.33527756;0.23794456;0.10290320;-0.07061466|-0.01828515;-0.20920433;-0.16457544;-0.41087005;-0.51519990;-0.36252046;-0.16712414;0.19084534;0.64757288;0.53769618;0.57152194;0.39133143;0.09014155|-0.01145656;-0.19102298;-0.15495618;-0.41908005;-0.54233390;-0.39975446;-0.17236413;0.33527756;0.53769618;0.92408532;0.68080348;0.55107492;0.35345379|0.00229493;-0.22233748;-0.11735205;-0.38244927;-0.45972565;-0.38397929;-0.23780832;0.23794456;0.57152194;0.68080348;1.00002015;0.48952124;0.47180358|0.00477216;-0.06101545;-0.06067334;-0.16988483;-0.26093155;-0.15689650;-0.12622772;0.10290320;0.39133143;0.55107492;0.48952124;0.69533402;0.31320947|0.02627448;-0.05816933;0.06577227;-0.01913932;-0.04736022;-0.03766059;-0.04437838;-0.07061466;0.09014155;0.35345379;0.47180358;0.31320947;0.65423238,（低层·gfcc·icov）
lowlevel.gfcc.mean,-612.25659180;177.66845703;-10.26582050;-62.47475433;-92.47612000;-50.59999847;-53.06485748;-40.39592361;-35.56930923;-22.45128632;-13.18585300;-10.16091061;3.25463200,（低层·gfcc·均值）
lowlevel.hfc.dmean,0.36142063,（低层·hfc·dmean）
lowlevel.hfc.dmean2,0.17005302,（低层·hfc·dmean2）
lowlevel.hfc.dvar,5.19360542,（低层·hfc·dvar）
lowlevel.hfc.dvar2,3.29393792,（低层·hfc·dvar2）
lowlevel.hfc.max,51.09030914,（低层·hfc·最大值）
lowlevel.hfc.mean,2.42795014,（低层·hfc·均值）
lowlevel.hfc.median,0.03762966,（低层·hfc·median）
lowlevel.hfc.min,0.00000000,（低层·hfc·最小值）
lowlevel.hfc.stdev,7.57322216,（低层·hfc·标准差）
lowlevel.hfc.var,57.35369492,（低层·hfc·方差）
lowlevel.loudness_ebu128.integrated,-24.16996956,（低层·响度·ebu128·integrated）
lowlevel.loudness_ebu128.loudness_range,0.00000000,（低层·响度·ebu128·响度·range）
lowlevel.loudness_ebu128.momentary.dmean,2.10405731,（低层·响度·ebu128·momentary·dmean）
lowlevel.loudness_ebu128.momentary.dmean2,0.16810608,（低层·响度·ebu128·momentary·dmean2）
lowlevel.loudness_ebu128.momentary.dvar,0.57540727,（低层·响度·ebu128·momentary·dvar）
lowlevel.loudness_ebu128.momentary.dvar2,0.04710354,（低层·响度·ebu128·momentary·dvar2）
lowlevel.loudness_ebu128.momentary.max,-17.19249916,（低层·响度·ebu128·momentary·最大值）
lowlevel.loudness_ebu128.momentary.mean,-42.38858414,（低层·响度·ebu128·momentary·均值）
lowlevel.loudness_ebu128.momentary.median,-41.71833038,（低层·响度·ebu128·momentary·median）
lowlevel.loudness_ebu128.momentary.min,-71.89798737,（低层·响度·ebu128·momentary·最小值）
lowlevel.loudness_ebu128.momentary.stdev,14.44201279,（低层·响度·ebu128·momentary·标准差）
lowlevel.loudness_ebu128.momentary.var,208.57174683,（低层·响度·ebu128·momentary·方差）
lowlevel.loudness_ebu128.short_term.dmean,0.00000000,（低层·响度·ebu128·short·term·dmean）
lowlevel.loudness_ebu128.short_term.dmean2,0.00000000,（低层·响度·ebu128·short·term·dmean2）
lowlevel.loudness_ebu128.short_term.dvar,0.00000000,（低层·响度·ebu128·short·term·dvar）
lowlevel.loudness_ebu128.short_term.dvar2,0.00000000,（低层·响度·ebu128·short·term·dvar2）
lowlevel.loudness_ebu128.short_term.max,-25.41123009,（低层·响度·ebu128·short·term·最大值）
lowlevel.loudness_ebu128.short_term.mean,-25.41123009,（低层·响度·ebu128·short·term·均值）
lowlevel.loudness_ebu128.short_term.median,-25.41123009,（低层·响度·ebu128·short·term·median）
lowlevel.loudness_ebu128.short_term.min,-25.41123009,（低层·响度·ebu128·short·term·最小值）
lowlevel.loudness_ebu128.short_term.stdev,0.00000000,（低层·响度·ebu128·short·term·标准差）
lowlevel.loudness_ebu128.short_term.var,0.00000000,（低层·响度·ebu128·short·term·方差）
lowlevel.melbands.dmean,0.00000000;0.00000001;0.00000025;0.00006971;0.00010766;0.00000100;0.00000127;0.00004090;0.00000645;0.00000152;0.00001468;0.00000061;0.00000355;0.00000171;0.00000153;0.00000074;0.00000071;0.00000014;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,（低层·melbands·dmean）
lowlevel.melbands.dmean2,0.00000000;0.00000001;0.00000047;0.00003067;0.00004605;0.00000149;0.00000115;0.00001828;0.00000327;0.00000084;0.00000708;0.00000036;0.00000186;0.00000089;0.00000084;0.00000041;0.00000041;0.00000008;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,（低层·melbands·dmean2）
lowlevel.melbands.dvar,0.00000000;0.00000000;0.00000000;0.00000019;0.00000043;0.00000000;0.00000000;0.00000006;0.00000000;0.00000000;0.00000001;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,（低层·melbands·dvar）
